date,股票,isPartial
2024-09-08 23:00:00+08:00,8.4,False
2024-09-09 00:00:00+08:00,11.76,False
2024-09-09 01:00:00+08:00,15.96,False
2024-09-09 02:00:00+08:00,0.0,False
2024-09-09 03:00:00+08:00,0.0,False
2024-09-09 04:00:00+08:00,0.0,False
2024-09-09 05:00:00+08:00,0.0,False
2024-09-09 06:00:00+08:00,0.0,False
2024-09-09 07:00:00+08:00,14.28,False
2024-09-09 08:00:00+08:00,30.24,False
2024-09-09 09:00:00+08:00,84.0,False
2024-09-09 10:00:00+08:00,55.44,False
2024-09-09 11:00:00+08:00,48.72,False
2024-09-09 12:00:00+08:00,51.24,False
2024-09-09 13:00:00+08:00,47.04,False
2024-09-09 14:00:00+08:00,30.24,False
2024-09-09 15:00:00+08:00,28.56,False
2024-09-09 16:00:00+08:00,25.2,False
2024-09-09 17:00:00+08:00,20.16,False
2024-09-09 18:00:00+08:00,14.28,False
2024-09-09 19:00:00+08:00,18.48,False
2024-09-09 20:00:00+08:00,21.0,False
2024-09-09 21:00:00+08:00,20.16,False
2024-09-09 22:00:00+08:00,25.2,False
2024-09-09 23:00:00+08:00,15.96,False
2024-09-10 00:00:00+08:00,23.52,False
2024-09-10 01:00:00+08:00,19.32,False
2024-09-10 02:00:00+08:00,0.0,False
2024-09-10 03:00:00+08:00,0.0,False
2024-09-10 04:00:00+08:00,0.0,False
2024-09-10 05:00:00+08:00,0.0,False
2024-09-10 06:00:00+08:00,27.72,False
2024-09-10 07:00:00+08:00,36.12,False
2024-09-10 08:00:00+08:00,26.04,False
2024-09-09 08:00:00+08:00,30.236,False
2024-09-09 09:00:00+08:00,84.66,False
2024-09-09 10:00:00+08:00,55.288,False
2024-09-09 11:00:00+08:00,49.241,False
2024-09-09 12:00:00+08:00,50.969,False
2024-09-09 13:00:00+08:00,47.513,False
2024-09-09 14:00:00+08:00,30.236,False
2024-09-09 15:00:00+08:00,28.508,False
2024-09-09 16:00:00+08:00,25.052,False
2024-09-09 17:00:00+08:00,19.869,False
2024-09-09 18:00:00+08:00,13.822,False
2024-09-09 19:00:00+08:00,18.141,False
2024-09-09 20:00:00+08:00,20.733,False
2024-09-09 21:00:00+08:00,20.733,False
2024-09-09 22:00:00+08:00,25.052,False
2024-09-09 23:00:00+08:00,15.55,False
2024-09-10 00:00:00+08:00,24.189,False
2024-09-10 01:00:00+08:00,19.005,False
2024-09-10 02:00:00+08:00,0.0,False
2024-09-10 03:00:00+08:00,0.0,False
2024-09-10 04:00:00+08:00,0.0,False
2024-09-10 05:00:00+08:00,0.0,False
2024-09-10 06:00:00+08:00,27.644,False
2024-09-10 07:00:00+08:00,36.283,False
2024-09-10 08:00:00+08:00,25.916,False
2024-09-10 09:00:00+08:00,71.702,False
2024-09-10 10:00:00+08:00,46.649,False
2024-09-10 11:00:00+08:00,50.969,False
2024-09-10 12:00:00+08:00,60.471,False
2024-09-10 13:00:00+08:00,56.152,False
2024-09-10 14:00:00+08:00,28.508,False
2024-09-10 15:00:00+08:00,23.325,False
2024-09-10 16:00:00+08:00,21.597,False
2024-09-10 17:00:00+08:00,21.597,False
